Income,Gender,Age,AgeRange,PoliticalAffiliation ,ApproveTrump,education,race,AgreeWhiteNationalists,RepublicansAgreeWhiteNationalists,Would you say that you love America?,DemocratsLoveAmerica,GovHelpPoor,WhitePeopleRacist,CivilWarNextDecade,hunting,kalesalad,VoteTheRockPres,VaderOrTrump
142000,Male,33,25-34,Independent,Approve,College degree,Black,Disagree,,Yes,100,Yes,No,Unlikely,No,No,Yes,DK/REF
33000,Female,63,55-64,Strong Democrat,DK/REF,High school,Black,Disagree,70,Yes,80,Yes,No,Likely,No,No,DK/REF,Darth Vader
145000,Female,36,35-44,Not Strong Democrat,Approve,College degree,Black,Disagree,10,Yes,90,Yes,No,Likely,No,Yes,DK/REF,Darth Vader
144000,Male,33,25-34,Strong Republican,Approve,High school,DK/REF,DK/REF,,Yes,30,No,No,Unlikely,Yes,No,No,Donald Trump
72000,Male,37,35-44,Independent,Approve,College degree,Other,Disagree,80,Yes,90,Yes,No,Likely,Yes,Yes,No,Donald Trump
132000,Male,40,35-44,Not Strong Republican,Approve,Graduate degree,White,Disagree,0,Yes,25,Yes,No,Unlikely,No,Yes,No,DK/REF
32000,Female,56,55-64,Strong Democrat,Disapprove,High school,Black,Disagree,40,Yes,100,Yes,Yes,Likely,No,No,Yes,Darth Vader
28000,Female,59,55-64,Independent,Approve,High school,White,Disagree,10,Yes,100,Yes,No,Unlikely,No,No,DK/REF,DK/REF
23000,Female,43,35-44,Independent,Disapprove,Some college,White,DK/REF,,Yes,100,Yes,No,Unlikely,No,No,No,Donald Trump
57000,Female,40,35-44,Not Strong Democrat,Approve,Some college,White,DK/REF,50,Yes,100,Yes,No,Likely,Yes,Yes,Yes,Donald Trump
142000,Female,51,45-54,Strong Democrat,Disapprove,Some college,White,Disagree,50,Yes,70,Yes,No,Unlikely,No,No,DK/REF,Darth Vader
47000,Other,60,55-64,Independent,Approve,Graduate degree,White,DK/REF,,Yes,15,No,No,Unlikely,No,No,No,Donald Trump
37000,Male,33,25-34,Strong Republican,Approve,College degree,White,DK/REF,15,Yes,40,No,No,Likely,Yes,Yes,DK/REF,Donald Trump
19000,Male,52,45-54,Not Strong Democrat,Disapprove,High school,White,Disagree,90,Yes,80,Yes,No,Unlikely,Yes,Yes,Yes,Donald Trump
62000,Male,38,35-44,Strong Democrat,Disapprove,College degree,White,Disagree,10,Yes,100,Yes,No,Unlikely,Yes,No,No,Darth Vader
203000,Female,47,45-54,Strong Democrat,Disapprove,College degree,White,Disagree,25,Yes,80,Yes,Yes,Likely,No,No,No,Donald Trump
5000,Female,41,35-44,Strong Democrat,Disapprove,High school,Black,Agree,,Yes,6,Yes,No,Unlikely,No,No,No,Darth Vader
56000,Female,42,35-44,Not Strong Republican,Disapprove,High school,White,Disagree,50,Yes,40,Yes,No,Unlikely,No,Yes,No,Donald Trump
147000,Female,41,35-44,Not Strong Republican,Disapprove,College degree,White,Disagree,20,Yes,95,Yes,No,Unlikely,No,No,No,DK/REF
45000,Female,42,35-44,Not Strong Democrat,Disapprove,College degree,White,Disagree,85,Yes,90,Yes,Yes,Unlikely,No,No,DK/REF,Darth Vader
82000,Female,37,35-44,Independent,Approve,College degree,White,DK/REF,,Yes,50,Yes,DK/REF,Likely,Yes,Yes,No,Donald Trump
,Female,80,65+,Independent,Disapprove,College degree,White,Disagree,,Yes,100,DK/REF,No,Unlikely,No,No,No,DK/REF
,Male,51,45-54,Independent,Approve,Some college,White,Disagree,50,Yes,50,Yes,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Male,30,25-34,Strong Republican,Approve,High school,White,Agree,50,Yes,25,No,No,Unlikely,Yes,No,No,Donald Trump
,Female,20,18-24,Independent,Disapprove,High school,Black,Agree,0,Yes,70,Yes,No,Unlikely,No,No,Yes,Donald Trump
,Female,48,45-54,Independent,Approve,Some college,White,Disagree,30,Yes,100,Yes,No,Unlikely,Yes,No,No,Donald Trump
,Female,50,45-54,Strong Republican,Approve,College degree,White,Disagree,25,Yes,50,Yes,No,Unlikely,No,Yes,No,Donald Trump
,Male,49,45-54,Strong Republican,Approve,High school,White,Agree,,Yes,40,Yes,No,Likely,Yes,No,No,Donald Trump
,Male,28,25-34,Independent,Approve,Some college,White,DK/REF,50,Yes,90,No,No,Unlikely,Yes,No,Yes,Donald Trump
,Female,53,45-54,Independent,Disapprove,High school,Black,Disagree,35,Yes,55,Yes,No,Likely,No,No,DK/REF,Darth Vader
,Male,19,18-24,Independent,Disapprove,High school,Black,Disagree,70,Yes,50,Yes,Yes,Likely,No,No,Yes,Darth Vader
,Female,57,55-64,Not Strong Democrat,Disapprove,College degree,White,Disagree,,Yes,100,Yes,No,Likely,No,No,DK/REF,Darth Vader
,Male,24,18-24,Not Strong Republican,Approve,College degree,White,Disagree,30,Yes,95,Yes,No,Unlikely,No,Yes,No,Donald Trump
,Male,74,65+,Independent,Disapprove,Some college,DK/REF,Disagree,60,Yes,50,Yes,No,Unlikely,No,Yes,No,Darth Vader
,Female,62,55-64,Strong Democrat,Disapprove,Some college,White,Disagree,40,Yes,98,Yes,No,Unlikely,No,Yes,No,Darth Vader
