Income,Gender,Age,AgeRange,PoliticalAffiliation ,ApproveTrump,education,race,AgreeWhiteNationalists,RepublicansAgreeWhiteNationalists,Would you say that you love America?,DemocratsLoveAmerica,GovHelpPoor,WhitePeopleRacist,CivilWarNextDecade,hunting,kalesalad,VoteTheRockPres,VaderOrTrump
,Male,42,35-44,Independent,Disapprove,High school,Latino,Disagree,,Yes,,Yes,Yes,Likely,No,Yes,No,Darth Vader
,Male,25,25-34,DK/REF,Disapprove,College degree,Asian,Disagree,20,Yes,50,Yes,No,Unlikely,No,No,DK/REF,Darth Vader
,DK/REF,25,25-34,DK/REF,Approve,Some college,White,DK/REF,,Yes,,Yes,No,DK/REF,Yes,DK/REF,No,DK/REF
,Male,32,25-34,DK/REF,Disapprove,High school,White,Disagree,,Yes,90,No,No,Unlikely,Yes,No,No,Donald Trump
,Male,18,18-24,Not Strong Democrat,DK/REF,DK/REF,Latino,DK/REF,40,Yes,50,Yes,No,Unlikely,Yes,Yes,Yes,Donald Trump
,Female,81,65+,Independent,Disapprove,Some college,White,Agree,,Yes,50,Yes,No,Likely,Yes,Yes,DK/REF,DK/REF
,Female,51,45-54,Independent,Approve,Some college,White,Disagree,,Yes,,Yes,No,Likely,No,No,No,Donald Trump
,Female,44,35-44,Strong Democrat,Disapprove,Graduate degree,White,Disagree,30,Yes,70,Yes,No,Unlikely,No,Yes,No,Darth Vader
,Male,48,45-54,Independent,Disapprove,Some college,White,Disagree,0,Yes,100,Yes,No,Likely,Yes,Yes,No,Donald Trump
,Other,44,35-44,Independent,Disapprove,Graduate degree,White,Disagree,5,Yes,0,Yes,No,Unlikely,No,Yes,No,Darth Vader
,Male,67,65+,Independent,Approve,College degree,White,Disagree,,Yes,0,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,25,25-34,Not Strong Democrat,Approve,Some college,Latino,Disagree,30,Yes,30,Yes,No,Unlikely,No,No,Yes,Donald Trump
,Male,54,45-54,Strong Democrat,Disapprove,Some college,White,DK/REF,10,Yes,100,Yes,DK/REF,DK/REF,No,Yes,No,Darth Vader
,Male,67,65+,Independent,Disapprove,College degree,Latino,Agree,35,Yes,80,Yes,No,Unlikely,No,Yes,No,Donald Trump
,Male,49,45-54,Independent,Disapprove,Some college,White,Disagree,,Yes,100,Yes,No,Unlikely,No,DK/REF,DK/REF,Darth Vader
,Male,37,35-44,Independent,Disapprove,Some college,Latino,Disagree,20,Yes,80,Yes,No,Likely,No,No,Yes,Darth Vader
,Female,39,35-44,Independent,Disapprove,College degree,Asian,Disagree,25,Yes,100,Yes,No,Unlikely,No,Yes,No,Donald Trump
,Male,32,25-34,Not Strong Democrat,Disapprove,College degree,White,Agree,75,Yes,50,Yes,Yes,Likely,Yes,No,Yes,Darth Vader
,Female,55,55-64,Strong Democrat,Disapprove,Graduate degree,White,Disagree,40,Yes,98,Yes,No,Unlikely,No,No,DK/REF,DK/REF
,Male,49,45-54,Strong Republican,Approve,College degree,White,Disagree,10,Yes,90,Yes,No,Unlikely,Yes,No,Yes,Donald Trump
,Male,68,65+,Not Strong Democrat,Approve,College degree,Black,Disagree,,No,50,No,Yes,Likely,Yes,No,No,Donald Trump
,Male,57,55-64,Strong Republican,DK/REF,Some college,White,DK/REF,,Yes,80,No,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,39,35-44,Strong Democrat,Disapprove,Graduate degree,White,Disagree,65,No,50,Yes,No,Likely,No,Yes,No,Darth Vader
,Female,52,45-54,Strong Democrat,Disapprove,Some college,White,Disagree,70,Yes,70,Yes,No,Likely,No,No,Yes,Darth Vader
,Female,67,65+,DK/REF,Approve,High school,White,DK/REF,,Yes,,No,No,Unlikely,No,No,DK/REF,Donald Trump
,Female,45,45-54,Strong Democrat,Disapprove,Some college,Latino,Disagree,90,Yes,95,Yes,No,DK/REF,No,Yes,DK/REF,Darth Vader
,Male,35,35-44,Strong Republican,Approve,College degree,White,Disagree,20,Yes,30,No,No,Unlikely,Yes,No,No,Donald Trump
,Male,35,35-44,Strong Republican,Approve,Some college,White,Disagree,0,Yes,100,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,30,25-34,Strong Democrat,Disapprove,Some college,Black,DK/REF,79,Yes,85,Yes,No,Likely,Yes,No,No,Darth Vader
,Female,46,45-54,DK/REF,Disapprove,College degree,Other,Disagree,,Yes,,Yes,DK/REF,DK/REF,No,Yes,No,DK/REF
,Female,30,25-34,Not Strong Democrat,Disapprove,College degree,White,Disagree,60,Yes,100,Yes,Yes,Likely,No,Yes,No,Darth Vader
,Female,30,25-34,Not Strong Democrat,Disapprove,Some college,Latino,Disagree,80,Yes,,Yes,No,Likely,No,Yes,No,Darth Vader
,Male,20,18-24,Independent,Disapprove,College degree,White,Disagree,1,Yes,100,Yes,No,Unlikely,Yes,Yes,No,DK/REF
,Female,29,25-34,Strong Democrat,Disapprove,College degree,White,DK/REF,,Yes,60,Yes,No,Unlikely,Yes,Yes,Yes,Darth Vader
,Female,22,18-24,Strong Democrat,Disapprove,Graduate degree,White,Disagree,40,Yes,85,Yes,Yes,Unlikely,No,No,DK/REF,Donald Trump
,Female,62,55-64,Independent,Approve,College degree,White,Disagree,25,Yes,100,Yes,No,Likely,Yes,No,No,Donald Trump
,Female,76,65+,Strong Democrat,Disapprove,Graduate degree,White,Disagree,60,Yes,90,Yes,No,Unlikely,No,Yes,No,Darth Vader
,Male,25,25-34,Strong Republican,Approve,College degree,White,Disagree,1,Yes,10,No,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,35,35-44,Not Strong Democrat,Approve,Some college,White,DK/REF,50,Yes,20,Yes,No,Likely,Yes,No,Yes,Darth Vader
,Female,27,25-34,Not Strong Democrat,Disapprove,College degree,White,Disagree,30,Yes,75,Yes,No,Likely,No,DK/REF,Yes,Donald Trump
,Female,66,65+,Not Strong Republican,Approve,Graduate degree,White,Disagree,95,Yes,100,DK/REF,No,Likely,No,Yes,No,Donald Trump
,Male,20,18-24,Independent,Approve,High school,White,Disagree,0,Yes,2,Yes,No,Unlikely,No,No,Yes,Donald Trump
,Male,32,25-34,Strong Democrat,Disapprove,College degree,Black,Disagree,25,Yes,95,Yes,No,Unlikely,No,Yes,No,Darth Vader
,Male,50,45-54,Independent,DK/REF,Graduate degree,Black,DK/REF,,Yes,,Yes,No,Unlikely,No,Yes,DK/REF,DK/REF
,Male,50,45-54,Independent,Approve,High school,White,Disagree,10,Yes,100,Yes,No,Unlikely,Yes,No,DK/REF,Darth Vader
,Female,58,55-64,Independent,Disapprove,High school,White,DK/REF,,Yes,95,Yes,No,Unlikely,No,No,DK/REF,Donald Trump
,Male,64,55-64,Strong Republican,Approve,High school,White,Disagree,,Yes,90,Yes,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Male,58,55-64,Independent,Disapprove,College degree,White,Disagree,50,Yes,45,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,72,65+,Strong Republican,Approve,High school,White,Disagree,0,Yes,,Yes,No,Unlikely,Yes,No,Yes,Donald Trump
,Male,18,18-24,Not Strong Democrat,Disapprove,College degree,Black,Disagree,9,Yes,98,Yes,No,Unlikely,Yes,Yes,Yes,Donald Trump
,Female,67,65+,Independent,Approve,Graduate degree,White,Disagree,10,Yes,80,Yes,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,51,45-54,Not Strong Republican,Disapprove,Graduate degree,White,Disagree,10,Yes,30,Yes,No,Unlikely,No,No,No,DK/REF
,Female,43,35-44,Strong Republican,Approve,Some college,White,Disagree,,Yes,100,Yes,No,Unlikely,Yes,No,Yes,Donald Trump
,Male,60,55-64,Independent,Approve,College degree,White,Disagree,2,Yes,90,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,46,45-54,Strong Republican,Approve,College degree,White,Disagree,1,Yes,50,No,No,Unlikely,No,Yes,Yes,Donald Trump
,Male,46,45-54,Independent,DK/REF,Some college,White,Disagree,,Yes,,Yes,No,Likely,No,Yes,Yes,Donald Trump
,Male,32,25-34,Independent,Approve,High school,Black,Agree,60,Yes,70,No,No,Likely,No,No,Yes,Darth Vader
,Female,23,18-24,DK/REF,Approve,Graduate degree,White,DK/REF,0,Yes,0,No,DK/REF,DK/REF,Yes,No,No,Darth Vader
,Male,21,18-24,Strong Republican,Approve,High school,Black,Disagree,34,No,25,Yes,No,Unlikely,No,No,Yes,Donald Trump
,Male,77,65+,Strong Republican,Approve,Some college,White,Disagree,10,Yes,25,No,No,DK/REF,Yes,No,Yes,Donald Trump
,Male,23,18-24,Independent,Disapprove,College degree,Asian,Disagree,100,No,100,Yes,Yes,Unlikely,Yes,No,Yes,Darth Vader
,Male,22,18-24,DK/REF,DK/REF,College degree,Asian,Disagree,1,Yes,10,Yes,No,Unlikely,No,No,Yes,Donald Trump
,Male,67,65+,Not Strong Democrat,Approve,Graduate degree,White,Disagree,,Yes,90,DK/REF,No,Likely,Yes,Yes,DK/REF,Donald Trump
,Female,73,65+,Independent,Disapprove,Graduate degree,White,DK/REF,,Yes,,DK/REF,No,DK/REF,No,Yes,DK/REF,Darth Vader
,Male,29,25-34,Not Strong Democrat,Disapprove,Some college,White,Disagree,40,Yes,100,Yes,No,Likely,Yes,No,No,Donald Trump
,Male,55,55-64,DK/REF,DK/REF,Graduate degree,DK/REF,Disagree,98,No,100,Yes,No,DK/REF,Yes,No,Yes,Darth Vader
,Female,26,25-34,Not Strong Democrat,Disapprove,College degree,White,Disagree,50,Yes,80,Yes,Yes,Likely,No,Yes,No,Donald Trump
,Male,64,55-64,Strong Republican,Approve,Graduate degree,White,Disagree,5,Yes,60,Yes,No,Unlikely,Yes,No,No,Donald Trump
,Male,49,45-54,Strong Republican,Approve,Graduate degree,Black,Disagree,10,Yes,10,No,No,Likely,Yes,Yes,No,Donald Trump
,Female,53,45-54,Strong Republican,Approve,College degree,White,Disagree,10,Yes,50,No,No,DK/REF,No,Yes,DK/REF,Donald Trump
,Male,33,25-34,Strong Democrat,Disapprove,Graduate degree,White,Disagree,20,Yes,100,Yes,No,Unlikely,No,Yes,No,DK/REF
,Male,60,55-64,Independent,Approve,High school,White,Disagree,10,Yes,80,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,38,35-44,Strong Democrat,Disapprove,Graduate degree,White,Disagree,40,Yes,70,Yes,No,Unlikely,Yes,Yes,DK/REF,Darth Vader
,Male,21,18-24,Independent,Disapprove,High school,Latino,Disagree,30,Yes,33,Yes,No,Likely,No,No,DK/REF,Darth Vader
,Male,38,35-44,Independent,DK/REF,High school,Asian,Disagree,35,Yes,60,Yes,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,50,45-54,Independent,Approve,High school,White,Disagree,10,Yes,90,No,No,Likely,Yes,No,No,Donald Trump
,Male,74,65+,Independent,Disapprove,Graduate degree,Asian,Agree,,Yes,51,Yes,No,Unlikely,No,No,No,Darth Vader
,DK/REF,20,18-24,DK/REF,DK/REF,Graduate degree,Asian,DK/REF,0,DK/REF,99,DK/REF,No,Unlikely,DK/REF,Yes,DK/REF,DK/REF
,Female,36,35-44,Strong Republican,Approve,College degree,White,Disagree,,Yes,90,No,No,Likely,Yes,Yes,DK/REF,Donald Trump
,Male,26,25-34,Strong Republican,Approve,College degree,White,Disagree,50,Yes,25,DK/REF,No,Likely,Yes,No,DK/REF,Donald Trump
,Male,34,25-34,DK/REF,DK/REF,College degree,Latino,DK/REF,,Yes,,DK/REF,No,DK/REF,Yes,DK/REF,DK/REF,DK/REF
,Male,19,18-24,Not Strong Democrat,Disapprove,College degree,White,DK/REF,,Yes,90,Yes,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,18,18-24,Independent,Approve,High school,Latino,Disagree,5,Yes,98,No,No,Unlikely,No,Yes,Yes,Donald Trump
,Male,21,18-24,Independent,DK/REF,Some college,White,DK/REF,0,No,70,Yes,No,Unlikely,No,Yes,Yes,Darth Vader
,Male,25,25-34,Strong Republican,Approve,High school,White,DK/REF,50,Yes,100,Yes,No,Likely,Yes,No,Yes,Darth Vader
,Female,27,25-34,Strong Democrat,Disapprove,High school,Other,Disagree,45,Yes,100,Yes,No,Unlikely,No,No,No,Darth Vader
,Female,20,18-24,Strong Republican,Disapprove,High school,Black,Disagree,75,Yes,50,Yes,Yes,Likely,No,No,Yes,Darth Vader
,Other,26,25-34,Strong Republican,Approve,Some college,White,Disagree,,Yes,1,Yes,No,Likely,Yes,Yes,No,Donald Trump
,Male,26,25-34,Independent,Disapprove,Graduate degree,Black,Disagree,80,Yes,100,Yes,No,Unlikely,Yes,No,Yes,Darth Vader
,Male,30,25-34,Independent,Disapprove,Graduate degree,Asian,Agree,,Yes,,Yes,No,Unlikely,Yes,No,No,DK/REF
,Male,19,18-24,Not Strong Republican,Disapprove,Some college,White,Disagree,56,Yes,50,Yes,No,Likely,No,No,Yes,Darth Vader
,Other,33,25-34,Strong Republican,Disapprove,Graduate degree,White,Disagree,5,Yes,100,No,No,Unlikely,Yes,Yes,No,Darth Vader
,Female,30,25-34,Not Strong Republican,Approve,Graduate degree,White,Agree,75,Yes,100,Yes,Yes,Likely,No,Yes,Yes,Donald Trump
,Female,19,18-24,Strong Republican,DK/REF,Graduate degree,White,DK/REF,42,Yes,20,Yes,No,Unlikely,No,No,DK/REF,Darth Vader
,Female,33,25-34,Independent,DK/REF,Graduate degree,Latino,Disagree,,Yes,70,No,Yes,Unlikely,No,No,Yes,Darth Vader
,Male,27,25-34,DK/REF,Disapprove,College degree,Black,Disagree,,Yes,,Yes,No,DK/REF,No,Yes,No,DK/REF
,Male,30,25-34,Independent,Disapprove,High school,Latino,DK/REF,,Yes,30,Yes,Yes,Unlikely,No,No,No,Darth Vader
,Male,18,18-24,DK/REF,DK/REF,Some college,White,DK/REF,13,Yes,67,Yes,No,Unlikely,Yes,No,Yes,Darth Vader
,Male,70,65+,Strong Republican,Approve,Some college,White,Disagree,10,Yes,100,Yes,No,Unlikely,Yes,No,No,Donald Trump
,Female,74,65+,Independent,Disapprove,College degree,White,Disagree,,Yes,,Yes,No,Unlikely,No,No,DK/REF,DK/REF
,Female,43,35-44,Independent,Approve,College degree,Asian,Disagree,20,Yes,100,Yes,No,Unlikely,No,Yes,No,Donald Trump
,Male,36,35-44,Strong Republican,Approve,College degree,Other,DK/REF,,Yes,40,DK/REF,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Other,35,35-44,Independent,Disapprove,College degree,Latino,Disagree,,Yes,80,Yes,No,Likely,Yes,Yes,DK/REF,DK/REF
,Female,21,18-24,Independent,DK/REF,College degree,Black,Disagree,,Yes,100,Yes,No,Unlikely,Yes,No,No,DK/REF
,Male,43,35-44,DK/REF,Disapprove,Some college,White,Disagree,,Yes,100,Yes,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,43,35-44,Not Strong Republican,Approve,College degree,White,Disagree,,Yes,70,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,77,65+,Strong Democrat,Disapprove,High school,White,DK/REF,,Yes,100,Yes,No,Likely,No,No,No,Darth Vader
,Male,38,35-44,Independent,Disapprove,Graduate degree,Other,DK/REF,70,DK/REF,70,Yes,DK/REF,Likely,Yes,No,No,Darth Vader
59000,Male,51,45-54,Independent,Approve,College degree,Asian,Disagree,0,Yes,40,Yes,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
7000,Male,40,35-44,DK/REF,Disapprove,High school,Latino,Agree,80,Yes,70,Yes,No,Unlikely,No,No,No,DK/REF
73000,Female,34,25-34,Strong Democrat,Disapprove,College degree,White,Agree,30,Yes,30,Yes,No,Likely,Yes,No,Yes,Darth Vader
14000,Female,59,55-64,Strong Democrat,Disapprove,Some college,Black,Disagree,100,Yes,100,Yes,No,Likely,No,No,DK/REF,Darth Vader
77000,Female,33,25-34,Not Strong Republican,DK/REF,College degree,DK/REF,Disagree,70,Yes,100,Yes,No,Unlikely,No,Yes,DK/REF,Darth Vader
146000,Male,39,35-44,Independent,Disapprove,Graduate degree,Other,Disagree,10,Yes,100,Yes,Yes,Unlikely,No,Yes,Yes,Donald Trump
40000,Female,61,55-64,Strong Democrat,Disapprove,Graduate degree,White,Disagree,,Yes,100,Yes,No,Unlikely,Yes,No,DK/REF,DK/REF
105000,Male,38,35-44,Strong Democrat,DK/REF,College degree,White,DK/REF,,Yes,,No,No,Likely,No,No,DK/REF,DK/REF
80000,Male,78,65+,Strong Democrat,Approve,College degree,White,Disagree,,Yes,100,Yes,No,Unlikely,Yes,DK/REF,Yes,Donald Trump
49000,Female,46,45-54,Strong Democrat,Disapprove,College degree,Black,Disagree,50,Yes,99,Yes,Yes,Likely,No,No,Yes,DK/REF
87000,Male,44,35-44,Independent,Approve,College degree,White,Agree,50,Yes,50,Yes,Yes,Unlikely,Yes,Yes,No,Donald Trump
137000,Other,90,65+,Independent,Disapprove,College degree,DK/REF,Disagree,50,Yes,75,Yes,No,Unlikely,No,No,No,DK/REF
62000,Female,64,55-64,Independent,DK/REF,Graduate degree,White,Disagree,50,Yes,85,Yes,Yes,Unlikely,No,Yes,DK/REF,Donald Trump
55000,Female,44,35-44,Strong Democrat,Disapprove,Graduate degree,White,Disagree,10,Yes,100,Yes,No,Unlikely,Yes,Yes,Yes,Darth Vader
191000,Male,41,35-44,Independent,Disapprove,Graduate degree,White,Disagree,30,No,70,Yes,No,Unlikely,No,Yes,No,DK/REF
24000,Male,47,45-54,Not Strong Republican,Approve,Some college,White,Disagree,5,Yes,50,Yes,No,Likely,Yes,No,Yes,Donald Trump
70000,Female,37,35-44,Strong Democrat,Disapprove,Some college,Black,Disagree,75,Yes,90,Yes,No,Likely,No,Yes,No,DK/REF
85000,Male,18,18-24,DK/REF,Approve,Graduate degree,DK/REF,Disagree,2,Yes,30,Yes,No,Unlikely,No,Yes,No,Donald Trump
42000,Female,83,65+,Independent,Disapprove,High school,Black,Disagree,0,Yes,0,Yes,Yes,Likely,No,No,No,Darth Vader
401000,Male,39,35-44,Strong Republican,Approve,Graduate degree,White,Disagree,1,Yes,70,Yes,No,Unlikely,Yes,DK/REF,DK/REF,Donald Trump
135000,Male,70,65+,Strong Republican,Approve,Graduate degree,DK/REF,Disagree,100,Yes,20,No,No,Likely,No,DK/REF,No,Donald Trump
46000,Male,37,35-44,Strong Democrat,Approve,High school,White,Agree,50,Yes,100,No,No,Likely,Yes,No,No,Donald Trump
26000,Female,34,25-34,Independent,Disapprove,High school,White,Disagree,,Yes,,Yes,No,Likely,No,No,Yes,Darth Vader
156000,Female,43,35-44,Strong Republican,Approve,Some college,White,Disagree,0,Yes,95,Yes,No,Unlikely,No,Yes,No,Donald Trump
118000,Female,45,45-54,Not Strong Republican,Approve,Other,Latino,Disagree,20,Yes,90,Yes,Yes,Likely,Yes,No,No,Donald Trump
141000,Other,40,35-44,DK/REF,Approve,College degree,DK/REF,Disagree,0,Yes,20,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
27000,Male,34,25-34,Independent,Approve,Some college,White,Disagree,,Yes,100,Yes,No,Unlikely,Yes,No,No,Donald Trump
75000,Other,20,18-24,DK/REF,DK/REF,Other,White,DK/REF,10,Yes,99,Yes,DK/REF,Unlikely,Yes,Yes,No,DK/REF
39000,Male,41,35-44,Strong Republican,Approve,Graduate degree,White,Disagree,23,Yes,77,Yes,No,Unlikely,No,No,No,Donald Trump
15000,Female,51,45-54,Strong Democrat,Disapprove,High school,Black,DK/REF,,Yes,,Yes,No,Unlikely,No,Yes,No,DK/REF
18000,Male,24,18-24,DK/REF,Approve,High school,White,DK/REF,,Yes,70,No,No,Unlikely,Yes,DK/REF,Yes,Donald Trump
16000,Male,23,18-24,Independent,Disapprove,Some college,White,Disagree,5,Yes,65,Yes,Yes,Likely,Yes,Yes,Yes,Darth Vader
,Female,39,35-44,DK/REF,Disapprove,Graduate degree,Asian,Agree,,Yes,50,Yes,No,Unlikely,No,No,No,Darth Vader
,Male,55,55-64,DK/REF,DK/REF,Other,Asian,DK/REF,,Yes,,DK/REF,Yes,Unlikely,No,No,Yes,DK/REF
,Male,66,65+,Independent,Disapprove,High school,White,Disagree,0,Yes,10,Yes,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Male,74,65+,Strong Democrat,Disapprove,High school,Black,Agree,70,Yes,80,No,No,Likely,Yes,Yes,No,Donald Trump
,Male,37,35-44,DK/REF,DK/REF,College degree,Asian,DK/REF,60,Yes,80,Yes,No,Unlikely,No,DK/REF,DK/REF,DK/REF
,Male,58,55-64,Strong Republican,Approve,High school,White,DK/REF,,Yes,100,Yes,No,Unlikely,No,No,No,Donald Trump
,Male,66,65+,Strong Republican,Approve,Some college,White,Disagree,,Yes,75,Yes,No,Unlikely,Yes,No,DK/REF,Donald Trump
,DK/REF,40,35-44,Strong Republican,Approve,College degree,White,Agree,,Yes,50,No,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,67,65+,Independent,Approve,High school,White,DK/REF,10,Yes,25,Yes,No,Likely,No,No,No,Donald Trump
,Female,20,18-24,Not Strong Republican,Disapprove,High school,White,Disagree,40,Yes,94,Yes,No,Likely,No,No,Yes,Darth Vader
,Female,25,25-34,Independent,Disapprove,Some college,White,DK/REF,,Yes,75,Yes,No,Unlikely,Yes,No,No,Donald Trump
,Female,50,45-54,Strong Republican,Approve,College degree,White,DK/REF,,Yes,80,No,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,45,45-54,Independent,Disapprove,Graduate degree,White,Disagree,60,Yes,100,Yes,Yes,Unlikely,No,No,No,Darth Vader
,Male,60,55-64,Independent,Disapprove,Some college,Other,Disagree,60,Yes,100,Yes,No,Likely,Yes,No,No,Darth Vader
,Male,24,18-24,DK/REF,DK/REF,High school,Other,DK/REF,75,No,75,Yes,Yes,Likely,No,No,No,Donald Trump
,Male,46,45-54,Not Strong Democrat,Disapprove,Some college,Black,Disagree,10,Yes,100,No,No,Unlikely,No,Yes,No,Donald Trump
,Male,29,25-34,Strong Republican,Approve,College degree,White,DK/REF,,Yes,0,No,No,Unlikely,No,No,No,Donald Trump
,Female,22,18-24,Independent,Disapprove,High school,Latino,Agree,60,Yes,70,Yes,No,Likely,No,Yes,No,Darth Vader
,Female,35,35-44,Independent,Approve,High school,White,DK/REF,,Yes,,Yes,No,Likely,Yes,Yes,No,Donald Trump
,Female,19,18-24,Not Strong Republican,Approve,Some college,Other,Disagree,60,Yes,30,Yes,No,Likely,No,No,No,Donald Trump
,Other,24,18-24,DK/REF,Disapprove,College degree,DK/REF,Disagree,50,Yes,99,Yes,No,Unlikely,Yes,No,No,Darth Vader
,Female,75,65+,Strong Democrat,Disapprove,Graduate degree,White,Disagree,60,Yes,100,Yes,No,Unlikely,Yes,No,DK/REF,DK/REF
,Female,59,55-64,Independent,Disapprove,High school,White,Disagree,25,Yes,100,Yes,No,Unlikely,No,No,No,Donald Trump
,Male,25,25-34,DK/REF,Approve,Some college,Other,DK/REF,,Yes,100,Yes,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,46,45-54,Independent,DK/REF,Graduate degree,White,Disagree,10,Yes,99,Yes,No,Unlikely,No,Yes,Yes,Donald Trump
,Male,66,65+,DK/REF,Approve,Some college,White,Disagree,0,Yes,100,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,61,55-64,Strong Republican,Disapprove,Graduate degree,White,Disagree,,Yes,100,Yes,No,Unlikely,No,Yes,No,DK/REF
,Female,53,45-54,Independent,Disapprove,Some college,White,Disagree,,Yes,,Yes,Yes,Likely,Yes,No,Yes,Darth Vader
,Female,48,45-54,DK/REF,DK/REF,Other,Latino,DK/REF,,Yes,,Yes,Yes,Likely,No,No,DK/REF,Donald Trump
,Female,55,55-64,Strong Democrat,Disapprove,Some college,Black,Disagree,65,Yes,90,No,No,Likely,No,Yes,No,Darth Vader
,Male,67,65+,Strong Democrat,Disapprove,College degree,White,Disagree,20,Yes,100,Yes,No,Unlikely,No,Yes,DK/REF,Donald Trump
150000,Female,35,35-44,Strong Democrat,Disapprove,Graduate degree,White,Disagree,10,Yes,75,Yes,No,Unlikely,Yes,Yes,Yes,Darth Vader
78000,Male,50,45-54,Strong Democrat,Disapprove,Graduate degree,Black,Disagree,60,Yes,90,Yes,Yes,Unlikely,No,No,Yes,DK/REF
53000,Female,76,65+,Strong Democrat,Disapprove,Some college,Black,Disagree,60,Yes,100,Yes,No,Unlikely,No,No,No,DK/REF
60000,Female,70,65+,Not Strong Republican,Approve,High school,Black,Agree,50,Yes,100,Yes,No,Unlikely,No,Yes,DK/REF,Donald Trump
51000,Male,40,35-44,DK/REF,Approve,College degree,Black,Disagree,0,Yes,100,Yes,No,Unlikely,No,No,Yes,Donald Trump
137000,Male,40,35-44,Independent,Disapprove,Graduate degree,White,Disagree,5,Yes,90,Yes,No,Unlikely,No,No,Yes,Donald Trump
126000,Male,42,35-44,Independent,Disapprove,College degree,DK/REF,Disagree,,No,,Yes,Yes,Unlikely,No,No,DK/REF,DK/REF
22000,Male,48,45-54,Independent,Approve,High school,White,Agree,10,Yes,100,Yes,No,Unlikely,Yes,No,No,Donald Trump
45000,Male,45,45-54,Independent,Disapprove,Some college,Other,Disagree,5,Yes,85,Yes,No,Unlikely,Yes,Yes,Yes,Darth Vader
33000,Male,83,65+,Strong Democrat,Disapprove,High school,Black,Disagree,80,Yes,80,Yes,No,Likely,No,No,No,DK/REF
129000,Male,38,35-44,Not Strong Republican,Disapprove,Graduate degree,White,Disagree,10,Yes,50,Yes,No,Unlikely,No,Yes,No,Donald Trump
28000,Female,53,45-54,Strong Democrat,Disapprove,College degree,Black,Disagree,100,Yes,86,Yes,Yes,Likely,No,No,DK/REF,Darth Vader
21000,Male,41,35-44,Strong Republican,Approve,High school,White,Disagree,20,Yes,40,Yes,No,Unlikely,Yes,No,Yes,Donald Trump
30000,Female,74,65+,Independent,DK/REF,High school,Latino,Disagree,,Yes,5,Yes,DK/REF,Unlikely,No,Yes,No,DK/REF
,Male,73,65+,Not Strong Republican,Approve,Graduate degree,White,Disagree,1,Yes,50,Yes,No,Unlikely,Yes,Yes,No,DK/REF
,Female,27,25-34,Independent,Approve,Some college,Black,DK/REF,75,Yes,75,Yes,No,Unlikely,Yes,Yes,Yes,Donald Trump
,Female,49,45-54,Independent,Disapprove,College degree,White,Disagree,20,Yes,90,Yes,No,Unlikely,Yes,Yes,No,DK/REF
,Male,62,55-64,Independent,Approve,Some college,White,Disagree,75,Yes,80,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,21,18-24,Independent,Disapprove,Some college,Latino,Disagree,40,Yes,60,Yes,No,Likely,Yes,Yes,No,Darth Vader
,Female,33,25-34,Independent,Disapprove,College degree,White,Disagree,50,Yes,10,Yes,Yes,Likely,No,Yes,No,Darth Vader
,Male,50,45-54,DK/REF,Approve,High school,White,Disagree,,Yes,4,Yes,No,Likely,Yes,No,DK/REF,Donald Trump
,Male,47,45-54,Strong Republican,Approve,High school,White,DK/REF,10,Yes,40,Yes,No,Unlikely,Yes,Yes,No,Donald Trump
9000,Female,70,65+,DK/REF,Disapprove,Graduate degree,Asian,Disagree,2,Yes,50,Yes,Yes,Likely,No,No,DK/REF,DK/REF
,Male,53,45-54,Strong Republican,Approve,Graduate degree,White,DK/REF,,Yes,90,Yes,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Male,26,25-34,Independent,Disapprove,High school,White,Disagree,80,Yes,40,Yes,Yes,Unlikely,No,Yes,No,Darth Vader
,Female,29,25-34,Strong Democrat,Disapprove,Graduate degree,White,Disagree,10,No,50,Yes,Yes,Likely,No,Yes,No,Darth Vader
,Female,24,18-24,Not Strong Democrat,Disapprove,College degree,White,Disagree,80,Yes,90,Yes,No,Likely,Yes,Yes,No,DK/REF
