Income,Gender,Age,Age Range,Political Affiliation ,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,Q6OTH1,What is your race?,Q5OTH1,"From what you have heard or seen, do you mostly agree or mostly disagree with the beliefs of White Nationalists?","If you had to guess, what percentage of Republicans would say that they mostly agree with the beliefs of White Nationalists?",q8x,Would you say that you love America?,"If you had to guess, what percentage of Democrats would say that they love America?",q10x,Do you think that government policies should help those who are poor and struggling in America?,"If you had to guess, what percentage of Republicans would say yes to that question?",Do you think that most white people in America are racist?,"If you had to guess, what percentage of Democrats would say yes to that question?",Have you lost any friendships or other relationships as a result of the 2016 presidential election?,Do you think it is likely or unlikely that there will be a Civil War in the United States within the next decade?,Have you ever gone hunting?,Have you ever eaten a kale salad?,"If Dwayne ""The Rock"" Johnson ran for president as a candidate for your political party, would you vote for him?","Who would you prefer as president of the United States, Darth Vader or Donald Trump?"
104000,Male,36,35-44,Strong Democrat,Disapprove,Some college,,White,,Disagree,30,,Yes,100,,Yes,30,No,30,No,Unlikely,No,No,No,Darth Vader
144000,Male,36,35-44,Strong Republican,Approve,College degree,,White,,Disagree,5,,Yes,100,,No,25,No,80,No,Likely,No,Yes,Yes,Donald Trump
42000,Male,43,35-44,Independent,Disapprove,Graduate degree,,White,,Disagree,10,,Yes,80,,Yes,50,No,75,No,Unlikely,No,No,No,Darth Vader
252000,Female,41,35-44,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,25,,Yes,75,,Yes,25,No,50,Yes,Unlikely,Yes,Yes,No,DK/REF
38000,Male,30,25-34,Strong Republican,Approve,Graduate degree,,White,,Disagree,5,,Yes,2,,No,1,No,100,Yes,Likely,Yes,No,No,Donald Trump
212000,Male,43,35-44,Independent,Approve,Graduate degree,,Latino,,Disagree,0,,Yes,99,,Yes,99,No,30,No,Unlikely,Yes,Yes,No,Donald Trump
44000,Female,65,65+,Strong Democrat,Disapprove,College degree,,Black,,Disagree,80,,Yes,100,,Yes,20,Yes,50,No,Unlikely,No,No,DK/REF,DK/REF
27000,Male,30,25-34,Strong Democrat,Disapprove,College degree,,Latino,,Disagree,80,,Yes,100,,Yes,80,No,50,No,Unlikely,No,Yes,No,Donald Trump
136000,Male,58,55-64,Strong Democrat,Disapprove,College degree,,White,,Disagree,8,,Yes,100,,No,2,No,0,No,Unlikely,No,No,DK/REF,DK/REF
26000,Female,30,25-34,Not Strong Republican,Approve,High school,,White,,Disagree,50,,Yes,50,,Yes,50,No,50,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
142000,Male,33,25-34,Independent,Approve,College degree,,Black,,Disagree,,DK/REF,Yes,100,,Yes,68,No,50,No,Unlikely,No,No,Yes,DK/REF
33000,Female,63,55-64,Strong Democrat,DK/REF,High school,,Black,,Disagree,70,,Yes,80,,Yes,30,No,50,No,Likely,No,No,DK/REF,Darth Vader
145000,Female,36,35-44,Not Strong Democrat,Approve,College degree,,Black,,Disagree,10,,Yes,90,,Yes,50,No,50,No,Likely,No,Yes,DK/REF,Darth Vader
144000,Male,33,25-34,Strong Republican,Approve,High school,,DK/REF,,DK/REF,,DK/REF,Yes,30,,No,80,No,80,No,Unlikely,Yes,No,No,Donald Trump
72000,Male,37,35-44,Independent,Approve,College degree,,Other,Native American,Disagree,80,,Yes,90,,Yes,80,No,50,No,Likely,Yes,Yes,No,Donald Trump
132000,Male,40,35-44,Not Strong Republican,Approve,Graduate degree,,White,,Disagree,0,,Yes,25,,Yes,100,No,100,No,Unlikely,No,Yes,No,DK/REF
32000,Female,56,55-64,Strong Democrat,Disapprove,High school,,Black,,Disagree,40,,Yes,100,,Yes,50,Yes,40,No,Likely,No,No,Yes,Darth Vader
28000,Female,59,55-64,Independent,Approve,High school,,White,,Disagree,10,,Yes,100,,Yes,5,No,20,No,Unlikely,No,No,DK/REF,DK/REF
23000,Female,43,35-44,Independent,Disapprove,Some college,,White,,DK/REF,,DK/REF,Yes,100,,Yes,40,No,50,No,Unlikely,No,No,No,Donald Trump
57000,Female,40,35-44,Not Strong Democrat,Approve,Some college,,White,,DK/REF,50,,Yes,100,,Yes,20,No,5,No,Likely,Yes,Yes,Yes,Donald Trump
142000,Female,51,45-54,Strong Democrat,Disapprove,Some college,,White,,Disagree,50,,Yes,70,,Yes,100,No,30,No,Unlikely,No,No,DK/REF,Darth Vader
47000,Other,60,55-64,Independent,Approve,Graduate degree,,White,,DK/REF,,DK/REF,Yes,15,,No,90,No,75,Yes,Unlikely,No,No,No,Donald Trump
37000,Male,33,25-34,Strong Republican,Approve,College degree,,White,,DK/REF,15,,Yes,40,,No,60,No,95,No,Likely,Yes,Yes,DK/REF,Donald Trump
19000,Male,52,45-54,Not Strong Democrat,Disapprove,High school,,White,,Disagree,90,,Yes,80,,Yes,90,No,65,No,Unlikely,Yes,Yes,Yes,Donald Trump
62000,Male,38,35-44,Strong Democrat,Disapprove,College degree,,White,,Disagree,10,,Yes,100,,Yes,30,No,3,Yes,Unlikely,Yes,No,No,Darth Vader
203000,Female,47,45-54,Strong Democrat,Disapprove,College degree,,White,,Disagree,25,,Yes,80,,Yes,50,Yes,50,Yes,Likely,No,No,No,Donald Trump
5000,Female,41,35-44,Strong Democrat,Disapprove,High school,,Black,,Agree,,DK/REF,Yes,6,,Yes,2,No,8,No,Unlikely,No,No,No,Darth Vader
56000,Female,42,35-44,Not Strong Republican,Disapprove,High school,,White,,Disagree,50,,Yes,40,,Yes,60,No,10,No,Unlikely,No,Yes,No,Donald Trump
147000,Female,41,35-44,Not Strong Republican,Disapprove,College degree,,White,,Disagree,20,,Yes,95,,Yes,70,No,20,No,Unlikely,No,No,No,DK/REF
45000,Female,42,35-44,Not Strong Democrat,Disapprove,College degree,,White,,Disagree,85,,Yes,90,,Yes,0,Yes,50,Yes,Unlikely,No,No,DK/REF,Darth Vader
82000,Female,37,35-44,Independent,Approve,College degree,,White,,DK/REF,,DK/REF,Yes,50,,Yes,50,DK/REF,80,No,Likely,Yes,Yes,No,Donald Trump
,Female,80,65+,Independent,Disapprove,College degree,,White,,Disagree,,DK/REF,Yes,100,,DK/REF,,No,,No,Unlikely,No,No,No,DK/REF
