Income,Gender,Age,Age Range,Political Affiliation ,Do you approve or disapprove of how Donald Trump is handling his job as president?,What is your highest level of education?,Q6OTH1,What is your race?,Q5OTH1,"From what you have heard or seen, do you mostly agree or mostly disagree with the beliefs of White Nationalists?","If you had to guess, what percentage of Republicans would say that they mostly agree with the beliefs of White Nationalists?",q8x,Would you say that you love America?,"If you had to guess, what percentage of Democrats would say that they love America?",q10x,Do you think that government policies should help those who are poor and struggling in America?,"If you had to guess, what percentage of Republicans would say yes to that question?",Do you think that most white people in America are racist?,"If you had to guess, what percentage of Democrats would say yes to that question?",Have you lost any friendships or other relationships as a result of the 2016 presidential election?,Do you think it is likely or unlikely that there will be a Civil War in the United States within the next decade?,Have you ever gone hunting?,Have you ever eaten a kale salad?,"If Dwayne ""The Rock"" Johnson ran for president as a candidate for your political party, would you vote for him?","Who would you prefer as president of the United States, Darth Vader or Donald Trump?"
34000,Male,72,65+,Not Strong Democrat,Approve,High school,,White,,Agree,,DK/REF,Yes,80,,No,50,No,3,No,Unlikely,No,No,No,Donald Trump
123000,Female,34,25-34,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,30,,Yes,95,,Yes,50,Yes,70,No,Unlikely,No,No,No,Darth Vader
77000,Female,65,65+,Not Strong Democrat,DK/REF,High school,,Black,,Disagree,8,,Yes,9,,No,7,Yes,9,No,Likely,No,No,DK/REF,Donald Trump
53000,Female,69,65+,Not Strong Republican,Disapprove,Some college,,White,,Disagree,10,,Yes,90,,Yes,60,No,50,No,Unlikely,No,No,DK/REF,Donald Trump
12000,Female,44,35-44,Independent,Disapprove,College degree,,White,,Disagree,75,,Yes,90,,Yes,85,No,15,No,Unlikely,No,No,No,Donald Trump
58000,Female,85,65+,Independent,DK/REF,Some college,,White,,DK/REF,,DK/REF,Yes,95,,Yes,,No,,No,DK/REF,Yes,DK/REF,DK/REF,DK/REF
5000,Female,30,25-34,Independent,Approve,High school,,White,,DK/REF,60,,Yes,90,,Yes,50,No,30,No,Likely,No,No,No,Donald Trump
63000,Male,64,55-64,Strong Democrat,Disapprove,High school,,White,,Agree,0,,Yes,100,,Yes,50,No,0,No,Likely,Yes,Yes,Yes,Darth Vader
52000,Female,38,35-44,Strong Democrat,Disapprove,College degree,,White,,Disagree,30,,Yes,80,,Yes,10,Yes,75,No,Likely,No,No,No,Darth Vader
130000,Male,45,45-54,Strong Republican,Approve,Graduate degree,,White,,DK/REF,,DK/REF,Yes,0,,DK/REF,50,No,100,No,Unlikely,Yes,No,No,Donald Trump
,Female,52,45-54,Strong Republican,Approve,College degree,,DK/REF,,Disagree,10,,Yes,40,,Yes,,No,35,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,49,45-54,Independent,Disapprove,Graduate degree,,White,,Disagree,20,,Yes,90,,Yes,60,No,30,No,Unlikely,No,Yes,No,Donald Trump
,Female,73,65+,Strong Democrat,Approve,High school,,White,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,DK/REF,,No,Likely,No,No,DK/REF,Donald Trump
,Male,44,35-44,Independent,Disapprove,College degree,,Black,,Disagree,2,,Yes,85,,Yes,45,Yes,75,Yes,Unlikely,Yes,Yes,DK/REF,Darth Vader
,Female,44,35-44,Independent,Disapprove,College degree,,White,,Disagree,75,,Yes,100,,Yes,50,No,75,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,71,65+,Strong Democrat,Disapprove,Some college,,White,,Disagree,,DK/REF,Yes,95,,Yes,80,No,90,No,Unlikely,Yes,Yes,DK/REF,DK/REF
,Male,48,45-54,Strong Republican,Approve,Some college,,White,,DK/REF,,DK/REF,Yes,100,,No,50,No,20,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,42,35-44,DK/REF,Approve,College degree,,White,,Disagree,10,,Yes,95,,Yes,40,No,15,Yes,Unlikely,No,Yes,No,Donald Trump
,Male,48,45-54,Not Strong Republican,Approve,Some college,,Other,Half Indian and Half White,Disagree,10,,Yes,90,,Yes,90,No,10,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,62,55-64,Independent,Approve,Other,Eleventh grade,White,,DK/REF,,DK/REF,Yes,100,,Yes,50,No,,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,34,25-34,Independent,Approve,Some college,,DK/REF,,Disagree,26,,Yes,100,,Yes,32,No,50,No,Likely,Yes,No,Yes,Darth Vader
,Male,54,45-54,DK/REF,Approve,Graduate degree,,Latino,,Disagree,10,,Yes,25,,No,80,No,50,No,Unlikely,No,Yes,No,Donald Trump
,Female,70,65+,Strong Democrat,Disapprove,College degree,,White,,Disagree,40,,Yes,100,,Yes,60,No,25,No,Unlikely,No,Yes,DK/REF,Darth Vader
,Male,61,55-64,Not Strong Republican,DK/REF,Graduate degree,,Black,,Disagree,0,,Yes,90,,Yes,50,No,25,No,Unlikely,No,No,No,Donald Trump
61000,Male,38,35-44,Strong Democrat,Approve,High school,,White,,Agree,5,,Yes,10,,Yes,100,Yes,5,No,Likely,No,No,Yes,Darth Vader
89000,Male,38,35-44,Independent,Disapprove,High school,,White,,Disagree,45,,Yes,75,,Yes,5,No,90,No,Unlikely,Yes,Yes,No,Donald Trump
24000,Female,40,35-44,Independent,Disapprove,College degree,,Black,,Disagree,50,,No,50,,Yes,40,No,30,No,Likely,No,Yes,Yes,Darth Vader
118000,Female,37,35-44,Strong Republican,Approve,College degree,,White,,Disagree,50,,Yes,100,,Yes,50,No,0,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
21000,Female,61,55-64,Independent,Disapprove,Some college,,White,,Disagree,,DK/REF,Yes,100,,Yes,75,No,10,No,Likely,No,Yes,DK/REF,Darth Vader
25000,Female,61,55-64,Strong Republican,Approve,High school,,White,,Disagree,0,,Yes,30,,No,0,No,90,Yes,Unlikely,No,No,No,Donald Trump
7000,Male,72,65+,Strong Republican,DK/REF,High school,,White,,DK/REF,,DK/REF,Yes,100,,Yes,100,Yes,,No,Unlikely,No,No,No,DK/REF
19000,Male,39,35-44,Strong Democrat,Disapprove,College degree,,White,,Disagree,40,,Yes,95,,Yes,25,No,50,No,Likely,Yes,Yes,Yes,Darth Vader
5000,Female,35,35-44,Strong Democrat,Disapprove,Some college,,Black,,Agree,100,,Yes,100,,Yes,45,No,15,No,Likely,No,No,Yes,Darth Vader
278000,Female,37,35-44,Not Strong Democrat,DK/REF,Graduate degree,,Latino,,Disagree,40,,Yes,40,,DK/REF,45,No,50,No,Unlikely,Yes,Yes,DK/REF,DK/REF
106000,Female,43,35-44,Not Strong Democrat,Approve,College degree,,White,,Disagree,75,,Yes,75,,Yes,50,No,75,No,Unlikely,No,Yes,DK/REF,DK/REF
10000,Female,58,55-64,Independent,Disapprove,High school,,Other,Spanish,Disagree,3,,Yes,100,,Yes,5,Yes,10,No,Likely,No,No,No,Darth Vader
9000,Female,80,65+,Strong Democrat,DK/REF,Other,5th Grade,Black,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,Yes,,No,DK/REF,No,Yes,DK/REF,DK/REF
36000,Female,18,18-24,Independent,Disapprove,Some college,,Latino,,Disagree,0,,Yes,50,,Yes,50,Yes,50,No,Likely,No,No,No,DK/REF
23000,Male,35,35-44,Independent,Approve,College degree,,Other,European American,Disagree,1,,Yes,50,,Yes,90,No,80,No,Unlikely,Yes,DK/REF,No,Donald Trump
,Female,40,35-44,Strong Democrat,DK/REF,College degree,,Black,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,No,,No,DK/REF,No,No,DK/REF,DK/REF
,Female,46,45-54,Strong Democrat,Disapprove,College degree,,White,,Disagree,30,,Yes,70,,Yes,20,Yes,80,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,69,65+,Strong Democrat,DK/REF,Some college,,Black,,Disagree,,DK/REF,Yes,75,,Yes,65,No,,No,Unlikely,No,Yes,Yes,Donald Trump
,Female,57,55-64,Strong Republican,Approve,Some college,,White,,Agree,30,,Yes,60,,Yes,45,No,30,No,Unlikely,No,No,Yes,Donald Trump
,Female,72,65+,Independent,Disapprove,Graduate degree,,White,,Disagree,60,,Yes,95,,Yes,30,No,40,No,Likely,No,No,DK/REF,DK/REF
,Male,22,18-24,Not Strong Republican,Disapprove,Some college,,Asian,,Disagree,20,,No,80,,Yes,90,No,80,No,Unlikely,No,Yes,No,Darth Vader
,Male,66,65+,Not Strong Republican,Approve,College degree,,White,,Disagree,80,,Yes,50,,Yes,70,No,70,No,Unlikely,Yes,No,No,Donald Trump
,Male,55,55-64,Strong Republican,Approve,College degree,,White,,Agree,50,,Yes,50,,Yes,80,No,75,No,Unlikely,Yes,DK/REF,No,Donald Trump
,Female,32,25-34,Strong Democrat,Disapprove,College degree,,White,,Disagree,50,,Yes,100,,Yes,80,No,10,No,Likely,Yes,Yes,No,Darth Vader
,Male,34,25-34,Not Strong Democrat,Disapprove,High school,,Latino,,Agree,7,,Yes,7,,Yes,9,No,6,No,Likely,No,DK/REF,DK/REF,Darth Vader
,Female,31,25-34,Strong Democrat,Disapprove,Some college,,Black,,Disagree,75,,Yes,90,,Yes,50,No,50,No,Likely,No,No,Yes,Darth Vader
,Female,67,65+,Strong Republican,Approve,Graduate degree,,White,,DK/REF,,DK/REF,Yes,20,,No,75,No,95,No,Unlikely,Yes,DK/REF,No,Donald Trump
,Male,23,18-24,Not Strong Republican,Disapprove,Some college,,White,,Disagree,75,,Yes,90,,Yes,50,Yes,50,No,Likely,Yes,No,No,Darth Vader
,Male,42,35-44,Independent,Disapprove,High school,,Latino,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,Yes,9,Yes,Likely,No,Yes,No,Darth Vader
,Male,25,25-34,DK/REF,Disapprove,College degree,,Asian,,Disagree,20,,Yes,50,,Yes,50,No,50,No,Unlikely,No,No,DK/REF,Darth Vader
,DK/REF,25,25-34,DK/REF,Approve,Some college,,White,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,No,,DK/REF,DK/REF,Yes,DK/REF,No,DK/REF
,Male,32,25-34,DK/REF,Disapprove,High school,,White,,Disagree,,DK/REF,Yes,90,,No,40,No,80,No,Unlikely,Yes,No,No,Donald Trump
,Male,18,18-24,Not Strong Democrat,DK/REF,DK/REF,,Latino,,DK/REF,40,,Yes,50,,Yes,50,No,35,No,Unlikely,Yes,Yes,Yes,Donald Trump
,Female,81,65+,Independent,Disapprove,Some college,,White,,Agree,,DK/REF,Yes,50,,Yes,,No,,No,Likely,Yes,Yes,DK/REF,DK/REF
,Female,51,45-54,Independent,Approve,Some college,,White,,Disagree,,DK/REF,Yes,,DK/REF,Yes,65,No,45,No,Likely,No,No,No,Donald Trump
,Female,44,35-44,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,30,,Yes,70,,Yes,40,No,40,No,Unlikely,No,Yes,No,Darth Vader
,Male,48,45-54,Independent,Disapprove,Some college,,White,,Disagree,0,,Yes,100,,Yes,70,No,50,No,Likely,Yes,Yes,No,Donald Trump
,Other,44,35-44,Independent,Disapprove,Graduate degree,,White,,Disagree,5,,Yes,0,,Yes,20,No,80,No,Unlikely,No,Yes,No,Darth Vader
,Male,67,65+,Independent,Approve,College degree,,White,,Disagree,,DK/REF,Yes,0,,Yes,,No,,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,25,25-34,Not Strong Democrat,Approve,Some college,,Latino,,Disagree,30,,Yes,30,,Yes,80,No,70,No,Unlikely,No,No,Yes,Donald Trump
,Male,54,45-54,Strong Democrat,Disapprove,Some college,,White,,DK/REF,10,,Yes,100,,Yes,5,DK/REF,20,No,DK/REF,No,Yes,No,Darth Vader
,Male,67,65+,Independent,Disapprove,College degree,,Latino,,Agree,35,,Yes,80,,Yes,80,No,70,No,Unlikely,No,Yes,No,Donald Trump
,Male,49,45-54,Independent,Disapprove,Some college,,White,,Disagree,,DK/REF,Yes,100,,Yes,30,No,,No,Unlikely,No,DK/REF,DK/REF,Darth Vader
,Male,37,35-44,Independent,Disapprove,Some college,,Latino,,Disagree,20,,Yes,80,,Yes,10,No,30,No,Likely,No,No,Yes,Darth Vader
,Female,39,35-44,Independent,Disapprove,College degree,,Asian,,Disagree,25,,Yes,100,,Yes,25,No,50,No,Unlikely,No,Yes,No,Donald Trump
,Male,32,25-34,Not Strong Democrat,Disapprove,College degree,,White,,Agree,75,,Yes,50,,Yes,25,Yes,85,Yes,Likely,Yes,No,Yes,Darth Vader
,Female,55,55-64,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,40,,Yes,98,,Yes,50,No,,Yes,Unlikely,No,No,DK/REF,DK/REF
,Male,49,45-54,Strong Republican,Approve,College degree,,White,,Disagree,10,,Yes,90,,Yes,90,No,10,No,Unlikely,Yes,No,Yes,Donald Trump
,Male,68,65+,Not Strong Democrat,Approve,College degree,,Black,,Disagree,,DK/REF,No,50,,No,25,Yes,75,No,Likely,Yes,No,No,Donald Trump
,Male,57,55-64,Strong Republican,DK/REF,Some college,,White,,DK/REF,,DK/REF,Yes,80,,No,50,No,80,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,39,35-44,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,65,,No,50,,Yes,20,No,6,No,Likely,No,Yes,No,Darth Vader
,Female,52,45-54,Strong Democrat,Disapprove,Some college,,White,,Disagree,70,,Yes,70,,Yes,50,No,50,No,Likely,No,No,Yes,Darth Vader
,Female,67,65+,DK/REF,Approve,High school,,White,,DK/REF,,DK/REF,Yes,,DK/REF,No,,No,,No,Unlikely,No,No,DK/REF,Donald Trump
,Female,45,45-54,Strong Democrat,Disapprove,Some college,,Latino,,Disagree,90,,Yes,95,,Yes,50,No,,No,DK/REF,No,Yes,DK/REF,Darth Vader
,Male,35,35-44,Strong Republican,Approve,College degree,,White,,Disagree,20,,Yes,30,,No,50,No,80,No,Unlikely,Yes,No,No,Donald Trump
,Male,35,35-44,Strong Republican,Approve,Some college,,White,,Disagree,0,,Yes,100,,Yes,80,No,50,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,30,25-34,Strong Democrat,Disapprove,Some college,,Black,,DK/REF,79,,Yes,85,,Yes,15,No,5,Yes,Likely,Yes,No,No,Darth Vader
,Female,46,45-54,DK/REF,Disapprove,College degree,,Other,mixed race,Disagree,,DK/REF,Yes,,DK/REF,Yes,,DK/REF,,No,DK/REF,No,Yes,No,DK/REF
,Female,30,25-34,Not Strong Democrat,Disapprove,College degree,,White,,Disagree,60,,Yes,100,,Yes,50,Yes,80,No,Likely,No,Yes,No,Darth Vader
,Female,30,25-34,Not Strong Democrat,Disapprove,Some college,,Latino,,Disagree,80,,Yes,,DK/REF,Yes,,No,50,No,Likely,No,Yes,No,Darth Vader
,Male,20,18-24,Independent,Disapprove,College degree,,White,,Disagree,1,,Yes,100,,Yes,80,No,80,No,Unlikely,Yes,Yes,No,DK/REF
,Female,29,25-34,Strong Democrat,Disapprove,College degree,,White,,DK/REF,,DK/REF,Yes,60,,Yes,10,No,10,No,Unlikely,Yes,Yes,Yes,Darth Vader
,Female,22,18-24,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,40,,Yes,85,,Yes,20,Yes,75,No,Unlikely,No,No,DK/REF,Donald Trump
,Female,62,55-64,Independent,Approve,College degree,,White,,Disagree,25,,Yes,100,,Yes,65,No,85,No,Likely,Yes,No,No,Donald Trump
,Female,76,65+,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,60,,Yes,90,,Yes,10,No,40,Yes,Unlikely,No,Yes,No,Darth Vader
,Male,25,25-34,Strong Republican,Approve,College degree,,White,,Disagree,1,,Yes,10,,No,100,No,70,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,35,35-44,Not Strong Democrat,Approve,Some college,,White,,DK/REF,50,,Yes,20,,Yes,30,No,10,No,Likely,Yes,No,Yes,Darth Vader
,Female,27,25-34,Not Strong Democrat,Disapprove,College degree,,White,,Disagree,30,,Yes,75,,Yes,75,No,30,No,Likely,No,DK/REF,Yes,Donald Trump
,Female,66,65+,Not Strong Republican,Approve,Graduate degree,,White,,Disagree,95,,Yes,100,,DK/REF,80,No,0,No,Likely,No,Yes,No,Donald Trump
,Male,20,18-24,Independent,Approve,High school,,White,,Disagree,0,,Yes,2,,Yes,100,No,50,No,Unlikely,No,No,Yes,Donald Trump
,Male,32,25-34,Strong Democrat,Disapprove,College degree,,Black,,Disagree,25,,Yes,95,,Yes,50,No,15,No,Unlikely,No,Yes,No,Darth Vader
,Male,50,45-54,Independent,DK/REF,Graduate degree,,Black,,DK/REF,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Unlikely,No,Yes,DK/REF,DK/REF
,Male,50,45-54,Independent,Approve,High school,,White,,Disagree,10,,Yes,100,,Yes,70,No,50,No,Unlikely,Yes,No,DK/REF,Darth Vader
,Female,58,55-64,Independent,Disapprove,High school,,White,,DK/REF,,DK/REF,Yes,95,,Yes,50,No,,No,Unlikely,No,No,DK/REF,Donald Trump
,Male,64,55-64,Strong Republican,Approve,High school,,White,,Disagree,,DK/REF,Yes,90,,Yes,90,No,,No,Unlikely,Yes,No,DK/REF,Donald Trump
,Male,58,55-64,Independent,Disapprove,College degree,,White,,Disagree,50,,Yes,45,,Yes,45,No,10,Yes,Unlikely,Yes,Yes,No,Donald Trump
,Female,72,65+,Strong Republican,Approve,High school,,White,,Disagree,0,,Yes,,DK/REF,Yes,80,No,80,Yes,Unlikely,Yes,No,Yes,Donald Trump
,Male,18,18-24,Not Strong Democrat,Disapprove,College degree,,Black,,Disagree,9,,Yes,98,,Yes,80,No,40,No,Unlikely,Yes,Yes,Yes,Donald Trump
,Female,67,65+,Independent,Approve,Graduate degree,,White,,Disagree,10,,Yes,80,,Yes,80,No,20,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,51,45-54,Not Strong Republican,Disapprove,Graduate degree,,White,,Disagree,10,,Yes,30,,Yes,20,No,40,No,Unlikely,No,No,No,DK/REF
,Female,43,35-44,Strong Republican,Approve,Some college,,White,,Disagree,,DK/REF,Yes,100,,Yes,40,No,10,No,Unlikely,Yes,No,Yes,Donald Trump
,Male,60,55-64,Independent,Approve,College degree,,White,,Disagree,2,,Yes,90,,Yes,80,No,60,Yes,Unlikely,Yes,Yes,No,Donald Trump
,Female,46,45-54,Strong Republican,Approve,College degree,,White,,Disagree,1,,Yes,50,,No,50,No,80,No,Unlikely,No,Yes,Yes,Donald Trump
,Male,46,45-54,Independent,DK/REF,Some college,,White,,Disagree,,DK/REF,Yes,,DK/REF,Yes,85,No,60,No,Likely,No,Yes,Yes,Donald Trump
,Male,32,25-34,Independent,Approve,High school,,Black,,Agree,60,,Yes,70,,No,50,No,70,No,Likely,No,No,Yes,Darth Vader
,Female,23,18-24,DK/REF,Approve,Graduate degree,,White,,DK/REF,0,,Yes,0,,No,50,DK/REF,,Yes,DK/REF,Yes,No,No,Darth Vader
,Male,21,18-24,Strong Republican,Approve,High school,,Black,,Disagree,34,,No,25,,Yes,12,No,60,No,Unlikely,No,No,Yes,Donald Trump
,Male,77,65+,Strong Republican,Approve,Some college,,White,,Disagree,10,,Yes,25,,No,25,No,75,No,DK/REF,Yes,No,Yes,Donald Trump
,Male,23,18-24,Independent,Disapprove,College degree,,Asian,,Disagree,100,,No,100,,Yes,0,Yes,1,Yes,Unlikely,Yes,No,Yes,Darth Vader
,Male,22,18-24,DK/REF,DK/REF,College degree,,Asian,,Disagree,1,,Yes,10,,Yes,85,No,4,No,Unlikely,No,No,Yes,Donald Trump
,Male,67,65+,Not Strong Democrat,Approve,Graduate degree,,White,,Disagree,,DK/REF,Yes,90,,DK/REF,80,No,20,No,Likely,Yes,Yes,DK/REF,Donald Trump
,Female,73,65+,Independent,Disapprove,Graduate degree,,White,,DK/REF,,DK/REF,Yes,,DK/REF,DK/REF,,No,,No,DK/REF,No,Yes,DK/REF,Darth Vader
,Male,29,25-34,Not Strong Democrat,Disapprove,Some college,,White,,Disagree,40,,Yes,100,,Yes,70,No,20,Yes,Likely,Yes,No,No,Donald Trump
,Male,55,55-64,DK/REF,DK/REF,Graduate degree,,DK/REF,,Disagree,98,,No,100,,Yes,10,No,20,No,DK/REF,Yes,No,Yes,Darth Vader
,Female,26,25-34,Not Strong Democrat,Disapprove,College degree,,White,,Disagree,50,,Yes,80,,Yes,40,Yes,70,No,Likely,No,Yes,No,Donald Trump
,Male,64,55-64,Strong Republican,Approve,Graduate degree,,White,,Disagree,5,,Yes,60,,Yes,95,No,50,No,Unlikely,Yes,No,No,Donald Trump
,Male,49,45-54,Strong Republican,Approve,Graduate degree,,Black,,Disagree,10,,Yes,10,,No,70,No,75,No,Likely,Yes,Yes,No,Donald Trump
,Female,53,45-54,Strong Republican,Approve,College degree,,White,,Disagree,10,,Yes,50,,No,50,No,45,No,DK/REF,No,Yes,DK/REF,Donald Trump
,Male,33,25-34,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,20,,Yes,100,,Yes,30,No,,No,Unlikely,No,Yes,No,DK/REF
,Male,60,55-64,Independent,Approve,High school,,White,,Disagree,10,,Yes,80,,Yes,30,No,25,No,Unlikely,Yes,Yes,No,Donald Trump
,Male,38,35-44,Strong Democrat,Disapprove,Graduate degree,,White,,Disagree,40,,Yes,70,,Yes,50,No,55,No,Unlikely,Yes,Yes,DK/REF,Darth Vader
,Male,21,18-24,Independent,Disapprove,High school,,Latino,,Disagree,30,,Yes,33,,Yes,50,No,50,No,Likely,No,No,DK/REF,Darth Vader
,Male,38,35-44,Independent,DK/REF,High school,,Asian,,Disagree,35,,Yes,60,,Yes,30,No,20,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,50,45-54,Independent,Approve,High school,,White,,Disagree,10,,Yes,90,,No,20,No,50,No,Likely,Yes,No,No,Donald Trump
,Male,74,65+,Independent,Disapprove,Graduate degree,,Asian,,Agree,,DK/REF,Yes,51,,Yes,,No,,No,Unlikely,No,No,No,Darth Vader
,DK/REF,20,18-24,DK/REF,DK/REF,Graduate degree,,Asian,,DK/REF,0,,DK/REF,99,,DK/REF,,No,,DK/REF,Unlikely,DK/REF,Yes,DK/REF,DK/REF
,Female,36,35-44,Strong Republican,Approve,College degree,,White,,Disagree,,DK/REF,Yes,90,,No,,No,10,No,Likely,Yes,Yes,DK/REF,Donald Trump
,Male,26,25-34,Strong Republican,Approve,College degree,,White,,Disagree,50,,Yes,25,,DK/REF,50,No,100,Yes,Likely,Yes,No,DK/REF,Donald Trump
,Male,34,25-34,DK/REF,DK/REF,College degree,,Latino,,DK/REF,,DK/REF,Yes,,DK/REF,DK/REF,,No,,DK/REF,DK/REF,Yes,DK/REF,DK/REF,DK/REF
,Male,19,18-24,Not Strong Democrat,Disapprove,College degree,,White,,DK/REF,,DK/REF,Yes,90,,Yes,50,No,60,No,Unlikely,No,Yes,DK/REF,Donald Trump
,Male,18,18-24,Independent,Approve,High school,,Latino,,Disagree,5,,Yes,98,,No,12,No,85,No,Unlikely,No,Yes,Yes,Donald Trump
,Male,21,18-24,Independent,DK/REF,Some college,,White,,DK/REF,0,,No,70,,Yes,20,No,20,No,Unlikely,No,Yes,Yes,Darth Vader
,Male,25,25-34,Strong Republican,Approve,High school,,White,,DK/REF,50,,Yes,100,,Yes,100,No,50,Yes,Likely,Yes,No,Yes,Darth Vader
,Female,27,25-34,Strong Democrat,Disapprove,High school,,Other,Hispanic,Disagree,45,,Yes,100,,Yes,,No,,No,Unlikely,No,No,No,Darth Vader
,Female,20,18-24,Strong Republican,Disapprove,High school,,Black,,Disagree,75,,Yes,50,,Yes,70,Yes,80,No,Likely,No,No,Yes,Darth Vader
,Other,26,25-34,Strong Republican,Approve,Some college,,White,,Disagree,,DK/REF,Yes,1,,Yes,100,No,99,Yes,Likely,Yes,Yes,No,Donald Trump
,Male,26,25-34,Independent,Disapprove,Graduate degree,,Black,,Disagree,80,,Yes,100,,Yes,60,No,40,No,Unlikely,Yes,No,Yes,Darth Vader
,Male,30,25-34,Independent,Disapprove,Graduate degree,,Asian,,Agree,,DK/REF,Yes,,DK/REF,Yes,,No,70,No,Unlikely,Yes,No,No,DK/REF
,Male,19,18-24,Not Strong Republican,Disapprove,Some college,,White,,Disagree,56,,Yes,50,,Yes,25,No,20,No,Likely,No,No,Yes,Darth Vader
,Other,33,25-34,Strong Republican,Disapprove,Graduate degree,,White,,Disagree,5,,Yes,100,,No,40,No,0,No,Unlikely,Yes,Yes,No,Darth Vader
,Female,30,25-34,Not Strong Republican,Approve,Graduate degree,,White,,Agree,75,,Yes,100,,Yes,50,Yes,50,No,Likely,No,Yes,Yes,Donald Trump
,Female,19,18-24,Strong Republican,DK/REF,Graduate degree,,White,,DK/REF,42,,Yes,20,,Yes,70,No,70,No,Unlikely,No,No,DK/REF,Darth Vader
,Female,33,25-34,Independent,DK/REF,Graduate degree,,Latino,,Disagree,,DK/REF,Yes,70,,No,50,Yes,30,No,Unlikely,No,No,Yes,Darth Vader
,Male,27,25-34,DK/REF,Disapprove,College degree,,Black,,Disagree,,DK/REF,Yes,,DK/REF,Yes,100,No,,No,DK/REF,No,Yes,No,DK/REF
,Male,30,25-34,Independent,Disapprove,High school,,Latino,,DK/REF,,DK/REF,Yes,30,,Yes,85,Yes,,No,Unlikely,No,No,No,Darth Vader
,Male,18,18-24,DK/REF,DK/REF,Some college,,White,,DK/REF,13,,Yes,67,,Yes,7,No,23,No,Unlikely,Yes,No,Yes,Darth Vader
,Male,70,65+,Strong Republican,Approve,Some college,,White,,Disagree,10,,Yes,100,,Yes,50,No,80,No,Unlikely,Yes,No,No,Donald Trump
,Female,74,65+,Independent,Disapprove,College degree,,White,,Disagree,,DK/REF,Yes,,DK/REF,Yes,,No,,No,Unlikely,No,No,DK/REF,DK/REF
,Female,43,35-44,Independent,Approve,College degree,,Asian,,Disagree,20,,Yes,100,,Yes,50,No,15,No,Unlikely,No,Yes,No,Donald Trump
,Male,36,35-44,Strong Republican,Approve,College degree,,Other,Native American,DK/REF,,DK/REF,Yes,40,,DK/REF,100,No,80,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Other,35,35-44,Independent,Disapprove,College degree,,Latino,,Disagree,,DK/REF,Yes,80,,Yes,80,No,5,Yes,Likely,Yes,Yes,DK/REF,DK/REF
,Female,21,18-24,Independent,DK/REF,College degree,,Black,,Disagree,,DK/REF,Yes,100,,Yes,50,No,50,No,Unlikely,Yes,No,No,DK/REF
,Male,43,35-44,DK/REF,Disapprove,Some college,,White,,Disagree,,DK/REF,Yes,100,,Yes,75,No,0,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
,Male,43,35-44,Not Strong Republican,Approve,College degree,,White,,Disagree,,DK/REF,Yes,70,,Yes,,No,40,No,Unlikely,Yes,Yes,No,Donald Trump
,Female,77,65+,Strong Democrat,Disapprove,High school,,White,,DK/REF,,DK/REF,Yes,100,,Yes,40,No,70,No,Likely,No,No,No,Darth Vader
,Male,38,35-44,Independent,Disapprove,Graduate degree,,Other,Native American,DK/REF,70,,DK/REF,70,,Yes,20,DK/REF,20,No,Likely,Yes,No,No,Darth Vader
59000,Male,51,45-54,Independent,Approve,College degree,,Asian,,Disagree,0,,Yes,40,,Yes,90,No,50,No,Unlikely,Yes,Yes,DK/REF,Donald Trump
7000,Male,40,35-44,DK/REF,Disapprove,High school,,Latino,,Agree,80,,Yes,70,,Yes,50,No,50,No,Unlikely,No,No,No,DK/REF
73000,Female,34,25-34,Strong Democrat,Disapprove,College degree,,White,,Agree,30,,Yes,30,,Yes,45,No,15,Yes,Likely,Yes,No,Yes,Darth Vader
14000,Female,59,55-64,Strong Democrat,Disapprove,Some college,,Black,,Disagree,100,,Yes,100,,Yes,3,No,3,No,Likely,No,No,DK/REF,Darth Vader
