"x","lower","upper"
0,0,0
0.2,0.000758615281539794,0.0117251555849294
0.4,0.00157126973778134,0.0132710465193825
0.6,0.00235773178300629,0.0156651349642742
0.8,0.00313333378644605,0.0180350416418604
1,0.00392417984443019,0.0203763564364181
1.2,0.00478444761102974,0.0225968800243444
1.4,0.00567991972659968,0.0246649744271303
1.6,0.00664470527489936,0.0265145839586632
1.8,0.00766051497101125,0.0281362815616231
2,0.00877738452905727,0.0296403408048419
2.2,0.00993456264740313,0.0311564346965837
2.4,0.0111910585580923,0.0327132325897391
2.6,0.0125243286741785,0.0343001768332435
2.8,0.0139085158152885,0.0359189247379963
3,0.0153304314400918,0.0377242773492408
3.2,0.016840548617869,0.0395791609869285
3.4,0.0184166052196657,0.0414948527833267
3.6,0.0200981528995483,0.0436169190746931
3.8,0.0217752635132676,0.0458157824005835
4,0.0234827561692259,0.0480666441243074
4.2,0.0252926623655039,0.0504803815362698
4.4,0.0271060109345202,0.0530446990232739
4.6,0.0289377696545815,0.0556964995740698
4.8,0.0308650364105975,0.0583977368969566
5,0.0329147094190641,0.0611541582952278
5.2,0.0348902988411295,0.0639352599066087
5.4,0.0369659500999605,0.0667220080617328
5.6,0.0390464534536066,0.0696477346716825
5.8,0.0411713111575616,0.0726490950432922
6,0.0433101657626126,0.075766042837241
6.2,0.0456119898446584,0.078794524684131
6.4,0.0478798711149184,0.0819519759284203
6.6,0.0501417215428589,0.0850534756654575
6.8,0.0524164921423451,0.0881945920131565
7,0.0547531967338485,0.0912918007000254
7.2,0.0570997621766363,0.094537196177618
7.4,0.0594755143364135,0.0977005927177519
7.6,0.0618459766875717,0.100902432002847
7.8,0.064200814324751,0.104184420552888
8,0.0665407605956539,0.107359095147201
8.2,0.0689448803923125,0.110557734874333
8.4,0.0713394070668663,0.113738348498312
8.6,0.0737523916923903,0.116969868094532
8.8,0.0762034466369689,0.120182400222959
9,0.0786464472498396,0.123322520298293
9.2,0.081073224396074,0.126456547288447
9.4,0.0834975324829188,0.129631312233745
9.6,0.0859700348722542,0.132847759196298
9.8,0.088381539640287,0.135940562892439
10,0.0908312211863269,0.138981388191112
10.2,0.0932653295026345,0.142120736241219
10.4,0.0957105299974181,0.145154304410518
10.6,0.0981658121223859,0.148310667489073
10.8,0.100675596969592,0.151251965953452
11,0.10302938847439,0.154130758251131
11.2,0.105480301266248,0.157211099625773
11.4,0.107865480925808,0.160311175266476
11.6,0.110408875205798,0.163375461355588
11.8,0.112935535494919,0.166296165479253
12,0.115357395300662,0.169267085976458
12.2,0.117757981679884,0.172157329348748
12.4,0.120184406132044,0.175155165736285
12.6,0.12262198498168,0.178070100400761
12.8,0.125020054440652,0.181122186522331
13,0.127382935483622,0.18416388799844
13.2,0.129819067975382,0.186980294899557
13.4,0.132242943335215,0.189921645357885
13.6,0.134659414266272,0.192768388801181
13.8,0.137032360640334,0.195756398030117
14,0.139394168499113,0.198742043009599
14.2,0.14177818088762,0.201745258014563
14.4,0.14422032937996,0.204616666952445
14.6,0.14663444551925,0.207485701420751
14.8,0.149048071991643,0.210376557688659
15,0.151381661091653,0.213297304738617
15.2,0.153882965113643,0.216250174282079
15.4,0.156350356445102,0.219145044012682
15.6,0.158707121120905,0.222095954850927
15.8,0.161176690288512,0.224956778780143
16,0.163560371826285,0.227848798291114
16.2,0.16605989195052,0.23067329321293
16.4,0.168594489244412,0.233485609242398
16.6,0.171052420461338,0.236301691185267
16.8,0.17339430643917,0.239159759775097
17,0.175823738732432,0.241944959100228
17.2,0.17815085942162,0.244827288229088
17.4,0.180583918441075,0.247617508444566
17.6,0.18295658581667,0.250412370020005
17.8,0.185303528466288,0.25323939698556
18,0.187783721209463,0.256068801895288
18.2,0.190199954764118,0.258890174500506
18.4,0.192695579557731,0.261670099839894
18.6,0.194990537673086,0.264413122388018
18.8,0.197532040617892,0.267232664823376
19,0.199883136709427,0.270017945986792
19.2,0.202349248961292,0.272717715422222
19.4,0.204820535420186,0.275519930784036
19.6,0.207232232450657,0.27830550804369
19.8,0.209611721707514,0.281115795566441
20,0.211980317741148,0.28385953286805
20.2,0.214363025114251,0.286681016409941
20.4,0.216772205283289,0.28942945614463
20.6,0.219119509424998,0.29214900115351
20.8,0.221528531006471,0.29482706759809
21,0.223989801328547,0.297464099774542
21.2,0.226276496660089,0.300038355728238
21.4,0.228661191616047,0.302749930492011
21.6,0.23102691536527,0.305523708036064
21.8,0.233464490958948,0.308210336566313
22,0.235914812799684,0.310986041222942
22.2,0.23832761576821,0.3136395713593
22.4,0.240716978084015,0.316266647325096
22.6,0.243214357115966,0.318986477028508
22.8,0.245619310078496,0.321561324988883
23,0.248019670723605,0.324155058317735
23.2,0.250480517764429,0.326762099040916
23.4,0.252876337673789,0.329217472580706
23.6,0.25532276234926,0.331808204773906
23.8,0.257677523706999,0.334393992057405
24,0.260133116042122,0.337016795703714
24.2,0.262433860975407,0.339581318276268
24.4,0.264762494793928,0.342134616376842
24.6,0.266994164374561,0.344606950972524
24.8,0.269073794343576,0.347101273384961
25,0.271345146822886,0.34968066678196
25.2,0.273592036601439,0.352218383810947
25.4,0.275893268003648,0.35456146357597
25.6,0.278122462047117,0.357054428416542
25.8,0.28038399545574,0.359485502927218
26,0.282543652417481,0.362031232495722
26.2,0.284624701850438,0.364498747627413
26.4,0.286803165713426,0.366942927170414
26.6,0.288940170198885,0.369389527124022
26.8,0.291148692033772,0.37181496118727
27,0.293296120150154,0.374207506710646
27.2,0.295514135967644,0.376514851229862
27.4,0.297566947115343,0.37885083354356
27.6,0.299732416370145,0.381224645144989
27.8,0.301805816555859,0.383631171404478
28,0.303915586393677,0.385857356541201
28.2,0.305952845195107,0.388137639603577
28.4,0.308065298195354,0.390442712010485
28.6,0.310189394954082,0.39272972774571
28.8,0.312301324000956,0.395014884809534
29,0.314382860749206,0.397286462876152
29.2,0.316389181641674,0.399569524520452
29.4,0.318349048692777,0.401862488180617
29.6,0.320475615179395,0.404052606574734
29.8,0.322516122405181,0.406191511270439
30,0.3245255228656,0.408318068120924
30.2,0.326559841616107,0.41047912462928
30.4,0.32857527755239,0.412642636022836
30.6,0.330456040275174,0.414842465283324
30.8,0.332463311784294,0.416962002270427
31,0.334366812005914,0.419099779747512
31.2,0.336402758317859,0.421308385051449
31.4,0.338321771594441,0.423439426281138
31.6,0.340222275039631,0.425495324862032
31.8,0.342214138010485,0.427544049538344
32,0.344122488855905,0.429558330657424
32.2,0.345981974570349,0.431487594941789
32.4,0.347898969100314,0.433595493721464
32.6,0.349802428272367,0.435583297170001
32.8,0.351695711973244,0.437571364694003
33,0.353581841090401,0.439507232751804
33.2,0.355416327809001,0.44148250178899
33.4,0.357347939420523,0.443501945273447
33.6,0.359259351825631,0.445434076715277
33.8,0.361059958846733,0.447437208352938
34,0.36292543653367,0.449378554006079
34.2,0.364748071724525,0.45127894312226
34.4,0.36658466358545,0.453139537971384
34.6,0.368330956053911,0.455137248428501
34.8,0.370017388482844,0.457119337401149
35,0.371997030117715,0.459005887244216
35.2,0.373803112434667,0.460840330291845
35.4,0.37558036874402,0.462692711963616
35.6,0.377332129511219,0.46461489469076
35.8,0.378970648262745,0.466512265977403
36,0.380824126676485,0.468382779352769
36.2,0.382639251447243,0.470256951451047
36.4,0.384327198414387,0.472143084484973
36.6,0.386010863375975,0.473985790245418
36.8,0.387808928697374,0.475844719384411
37,0.389540415263706,0.477701364162861
37.2,0.39119931298697,0.479547756115689
37.4,0.392969345669952,0.481257310641923
37.6,0.394764329386921,0.482987632814437
37.8,0.396458538137065,0.48471450987247
38,0.398206146454929,0.486500376041717
38.2,0.400000110293031,0.488310279308702
38.4,0.401822640612239,0.490017550285697
38.6,0.40356378220085,0.491729412067593
38.8,0.405233085803331,0.493413188584446
39,0.406872784319356,0.495110702299948
39.2,0.40860920341773,0.496826661165502
39.4,0.410333379210672,0.498625202833339
39.6,0.412004667173381,0.50038660567429
39.8,0.413651917399902,0.50205122792646
40,0.415317838666092,0.503773500445131
40.2,0.416962797740443,0.505460346868057
40.4,0.418564192018255,0.507043463753682
40.6,0.420203034588507,0.508759307128044
40.8,0.421856885398738,0.510505093414543
41,0.423489066631169,0.512194792382362
41.2,0.425103648706617,0.51386518923483
41.4,0.426729647797614,0.51562989758505
41.6,0.428247810276227,0.517421781352284
